AIRPORT_ID,YEAR,FIVEDAY,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,RESPONSE,WND_mean,CIG_mean,VIS_mean,TMP_mean,DEW_mean,SLP_mean,RAIN_mean,WND_sd,CIG_sd,VIS_sd,TMP_sd,DEW_sd,SLP_sd,RAIN_sd
KSMF,2009,1,38.69542,-121.59077,0.0,27.75657894736842,7992.867549668874,8839.33552631579,46.90066225165563,22.655629139072847,10199.483333333334,0.1984126984126984,23.000718880365323,10345.942924435323,6126.517875924917,32.723641803623146,34.5575937352156,37.02145263468162,0.8487151820943587
KSMF,2009,2,38.69542,-121.59077,0.0010649627263045,16.919753086419753,9841.496894409938,8086.2962962962965,55.37267080745342,37.64596273291925,10262.825,0.064,13.735287281627617,10833.811412150979,5497.274975850345,33.24263449919704,22.947606067378853,34.43729229832481,0.7155417527999325
KSMF,2009,3,38.69542,-121.59077,0.0041623309053069,8.697368421052632,18363.80132450331,8312.572368421053,60.37748344370861,31.251655629139073,10268.45,0.0,19.08018613543129,8190.414658627787,6053.37369741502,64.06806190522224,29.93263960808142,39.65329789076048,0.0
KSMF,2009,4,38.69542,-121.59077,0.0033039647577092,10.37062937062937,20924.545454545456,11554.972027972028,71.18881118881119,31.95104895104895,10240.266666666666,0.0,12.821459960417771,4757.0349279796055,5499.695579211705,60.27518479521985,22.354798669186003,18.63661045629606,0.0
KSMF,2009,5,38.69542,-121.59077,0.0010917030567685,22.803797468354432,5344.702531645569,9327.367088607594,103.9113924050633,85.63291139240506,10175.591666666667,4.296296296296297,19.148916538427507,8640.255393658043,5832.868399207789,23.949091374553095,27.428274599776817,10.497295236530345,17.20641761308066
KSMF,2009,6,38.69542,-121.59077,0.0010172939979654,23.31967213114754,20862.04132231405,15252.106557377048,63.15702479338843,13.826446280991735,10265.208333333334,0.0,21.21096955925589,4614.485036990755,2446.9154399712857,49.654138509034475,28.89281274121946,55.153246524940975,0.0
KSMF,2009,7,38.69542,-121.59077,0.001098901098901,12.194029850746269,20688.358208955226,12878.940298507463,81.32835820895522,38.85820895522388,10209.01680672269,0.0,11.154740461616287,5224.949572592552,4756.709043944115,60.51704241656366,20.425972330349897,32.32252276435439,0.0
KSMF,2009,8,38.69542,-121.59077,0.0021857923497267,32.992592592592594,10250.407407407407,13482.385185185185,93.43703703703704,63.733333333333334,10114.391666666666,1.936,24.48651663588854,10256.254931181142,4845.2981917466195,32.70551722304628,25.72593789538129,17.456450414229057,7.446306726892717
KSMF,2009,9,38.69542,-121.59077,0.0,41.25874125874126,6980.6783216783215,15215.244755244756,68.83916083916084,36.28671328671329,10185.483333333334,4.426470588235294,23.77823400694257,9251.631063353856,2680.4182567693233,24.589202471086566,19.963918995444086,28.67083058808555,15.745490760939534
KSMF,2009,10,38.69542,-121.59077,0.0020554984583761,59.44961240310077,6897.837209302325,15254.093023255815,90.37209302325581,56.42635658914729,10140.025,5.684615384615385,37.53289416471697,9078.875832797508,2147.79402615313,23.39707172097139,15.368786952882814,83.7812741055932,18.548505284807632
KSMF,2009,11,38.69542,-121.59077,0.0,40.32592592592592,10228.77037037037,13106.888888888889,120.14814814814815,89.68148148148148,10188.666666666666,6.82089552238806,27.653190587994807,10269.521690921614,4642.015972994097,32.67924589424753,29.347544801031233,24.168989553193672,32.81363432611893
KSMF,2009,12,38.69542,-121.59077,0.0,29.651162790697676,13839.01550387597,15169.868217054263,113.36434108527132,80.7751937984496,10198.7,1.5555555555555556,18.12312540426195,9986.112456795076,2685.9149930117064,31.144807448557966,20.824504912361327,20.986830604536824,5.216214037871615
KSMF,2009,13,38.69542,-121.59077,0.0,48.346666666666664,10190.106666666667,13738.12,104.62666666666667,72.16,10162.65,8.408759124087592,25.048941803170322,10239.10678134675,4322.416897738156,29.888730265235594,29.889748191978228,36.90269968034156,28.309101307375652
KSMF,2009,14,38.69542,-121.59077,0.0010672358591248,24.5327868852459,20634.83606557377,16093.0,86.64754098360656,18.84426229508197,10182.266666666666,0.0,16.734279375541377,5177.144332928897,0.0,44.27355275152547,31.93899673222707,24.22261369063155,0.0
KSMF,2009,15,38.69542,-121.59077,0.0021344717182497,41.1796875,15309.421875,15700.038759689922,114.171875,63.703125,10185.208333333334,0.0,23.70203273576101,9623.043089016126,1698.330390611158,43.68500515276209,24.41000162093108,25.933624334992253,0.0
KSMF,2009,16,38.69542,-121.59077,0.0010593220338983,26.433333333333334,20648.641666666666,16079.591666666667,142.39166666666668,90.025,10176.1,0.024,19.903858556425025,5079.32053087735,146.880932504302,45.82617794922651,14.591042780136199,56.38752469452904,0.2683281572999748
KSMF,2009,17,38.69542,-121.59077,0.0020554984583761,34.53333333333333,19694.208333333332,16093.0,116.15833333333333,28.675,10203.125,0.024,25.90672776360163,6376.924099676836,0.0,55.48805546890148,40.04748494500208,45.211280383877956,0.26832815729997483
KSMF,2009,18,38.69542,-121.59077,0.0010672358591248,48.15833333333333,22000.0,16093.0,148.99166666666667,23.55,10153.116666666667,0.0,36.926225754325124,0.0,0.0,57.44526014533546,52.24583936633077,26.628216327082416,0.0
KSMF,2009,19,38.69542,-121.59077,0.0021436227224008,41.84166666666667,21505.883333333335,16093.0,136.9,8.816666666666666,10143.891666666666,0.0,31.57144647451233,3098.7167232279135,0.0,57.97701659952425,50.98574250097128,31.63388137709704,0.0
